file,missing_value,month,unit,year
gpcp_1dd_v1.2_p1d.199610_monthlyAverage.npy,-99999.,10,mm/day,1996
gpcp_1dd_v1.2_p1d.199611_monthlyAverage.npy,-99999.,11,mm/day,1996
gpcp_1dd_v1.2_p1d.199612_monthlyAverage.npy,-99999.,12,mm/day,1996
gpcp_1dd_v1.2_p1d.199701_monthlyAverage.npy,-99999.,01,mm/day,1997
gpcp_1dd_v1.2_p1d.199702_monthlyAverage.npy,-99999.,02,mm/day,1997
gpcp_1dd_v1.2_p1d.199703_monthlyAverage.npy,-99999.,03,mm/day,1997
gpcp_1dd_v1.2_p1d.199704_monthlyAverage.npy,-99999.,04,mm/day,1997
gpcp_1dd_v1.2_p1d.199705_monthlyAverage.npy,-99999.,05,mm/day,1997
gpcp_1dd_v1.2_p1d.199706_monthlyAverage.npy,-99999.,06,mm/day,1997
gpcp_1dd_v1.2_p1d.199707_monthlyAverage.npy,-99999.,07,mm/day,1997
gpcp_1dd_v1.2_p1d.199708_monthlyAverage.npy,-99999.,08,mm/day,1997
gpcp_1dd_v1.2_p1d.199709_monthlyAverage.npy,-99999.,09,mm/day,1997
gpcp_1dd_v1.2_p1d.199710_monthlyAverage.npy,-99999.,10,mm/day,1997
gpcp_1dd_v1.2_p1d.199711_monthlyAverage.npy,-99999.,11,mm/day,1997
gpcp_1dd_v1.2_p1d.199712_monthlyAverage.npy,-99999.,12,mm/day,1997
gpcp_1dd_v1.2_p1d.199801_monthlyAverage.npy,-99999.,01,mm/day,1998
gpcp_1dd_v1.2_p1d.199802_monthlyAverage.npy,-99999.,02,mm/day,1998
gpcp_1dd_v1.2_p1d.199803_monthlyAverage.npy,-99999.,03,mm/day,1998
gpcp_1dd_v1.2_p1d.199804_monthlyAverage.npy,-99999.,04,mm/day,1998
gpcp_1dd_v1.2_p1d.199805_monthlyAverage.npy,-99999.,05,mm/day,1998
gpcp_1dd_v1.2_p1d.199806_monthlyAverage.npy,-99999.,06,mm/day,1998
gpcp_1dd_v1.2_p1d.199807_monthlyAverage.npy,-99999.,07,mm/day,1998
gpcp_1dd_v1.2_p1d.199808_monthlyAverage.npy,-99999.,08,mm/day,1998
gpcp_1dd_v1.2_p1d.199809_monthlyAverage.npy,-99999.,09,mm/day,1998
gpcp_1dd_v1.2_p1d.199810_monthlyAverage.npy,-99999.,10,mm/day,1998
gpcp_1dd_v1.2_p1d.199811_monthlyAverage.npy,-99999.,11,mm/day,1998
gpcp_1dd_v1.2_p1d.199812_monthlyAverage.npy,-99999.,12,mm/day,1998
gpcp_1dd_v1.2_p1d.199901_monthlyAverage.npy,-99999.,01,mm/day,1999
gpcp_1dd_v1.2_p1d.199902_monthlyAverage.npy,-99999.,02,mm/day,1999
gpcp_1dd_v1.2_p1d.199903_monthlyAverage.npy,-99999.,03,mm/day,1999
gpcp_1dd_v1.2_p1d.199904_monthlyAverage.npy,-99999.,04,mm/day,1999
gpcp_1dd_v1.2_p1d.199905_monthlyAverage.npy,-99999.,05,mm/day,1999
gpcp_1dd_v1.2_p1d.199906_monthlyAverage.npy,-99999.,06,mm/day,1999
gpcp_1dd_v1.2_p1d.199907_monthlyAverage.npy,-99999.,07,mm/day,1999
gpcp_1dd_v1.2_p1d.199908_monthlyAverage.npy,-99999.,08,mm/day,1999
gpcp_1dd_v1.2_p1d.199909_monthlyAverage.npy,-99999.,09,mm/day,1999
gpcp_1dd_v1.2_p1d.199910_monthlyAverage.npy,-99999.,10,mm/day,1999
gpcp_1dd_v1.2_p1d.199911_monthlyAverage.npy,-99999.,11,mm/day,1999
gpcp_1dd_v1.2_p1d.199912_monthlyAverage.npy,-99999.,12,mm/day,1999
gpcp_1dd_v1.2_p1d.200001_monthlyAverage.npy,-99999.,01,mm/day,2000
gpcp_1dd_v1.2_p1d.200002_monthlyAverage.npy,-99999.,02,mm/day,2000
gpcp_1dd_v1.2_p1d.200003_monthlyAverage.npy,-99999.,03,mm/day,2000
gpcp_1dd_v1.2_p1d.200004_monthlyAverage.npy,-99999.,04,mm/day,2000
gpcp_1dd_v1.2_p1d.200005_monthlyAverage.npy,-99999.,05,mm/day,2000
gpcp_1dd_v1.2_p1d.200006_monthlyAverage.npy,-99999.,06,mm/day,2000
gpcp_1dd_v1.2_p1d.200007_monthlyAverage.npy,-99999.,07,mm/day,2000
gpcp_1dd_v1.2_p1d.200008_monthlyAverage.npy,-99999.,08,mm/day,2000
gpcp_1dd_v1.2_p1d.200009_monthlyAverage.npy,-99999.,09,mm/day,2000
gpcp_1dd_v1.2_p1d.200010_monthlyAverage.npy,-99999.,10,mm/day,2000
gpcp_1dd_v1.2_p1d.200011_monthlyAverage.npy,-99999.,11,mm/day,2000
gpcp_1dd_v1.2_p1d.200012_monthlyAverage.npy,-99999.,12,mm/day,2000
gpcp_1dd_v1.2_p1d.200101_monthlyAverage.npy,-99999.,01,mm/day,2001
gpcp_1dd_v1.2_p1d.200102_monthlyAverage.npy,-99999.,02,mm/day,2001
gpcp_1dd_v1.2_p1d.200103_monthlyAverage.npy,-99999.,03,mm/day,2001
gpcp_1dd_v1.2_p1d.200104_monthlyAverage.npy,-99999.,04,mm/day,2001
gpcp_1dd_v1.2_p1d.200105_monthlyAverage.npy,-99999.,05,mm/day,2001
gpcp_1dd_v1.2_p1d.200106_monthlyAverage.npy,-99999.,06,mm/day,2001
gpcp_1dd_v1.2_p1d.200107_monthlyAverage.npy,-99999.,07,mm/day,2001
gpcp_1dd_v1.2_p1d.200108_monthlyAverage.npy,-99999.,08,mm/day,2001
gpcp_1dd_v1.2_p1d.200109_monthlyAverage.npy,-99999.,09,mm/day,2001
gpcp_1dd_v1.2_p1d.200110_monthlyAverage.npy,-99999.,10,mm/day,2001
gpcp_1dd_v1.2_p1d.200111_monthlyAverage.npy,-99999.,11,mm/day,2001
gpcp_1dd_v1.2_p1d.200112_monthlyAverage.npy,-99999.,12,mm/day,2001
